,City,Country Code,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH)
0,magdalena,mx,20.916667,-103.95,80.79,23,0,2.37
1,loksa,ee,59.5763889,25.7213889,23.0,67,40,5.82
2,san juan,ph,13.327,123.3167,74.31,90,56,6.62
3,pabellon de hidalgo,mx,22.166667,-102.35,75.2,16,5,3.36
4,nefteyugansk,ru,61.083333,72.7,3.2,77,64,4.47
5,saint-louis,re,-21.2666667,55.4166667,75.2,69,0,3.36
6,morehead,pg,-8.55,141.65,72.65,98,20,5.39
7,karchaghbyur,am,40.1638889,45.5722222,38.99,59,0,7.07
8,kubanskiy,ru,45.929167,40.580556,51.05,82,0,14.56
9,abuyog,ph,10.747,125.0107,74.94,100,64,6.96
10,madgaon,in,15.3,73.95,78.68,100,0,4.38
11,fujinomiya,jp,35.216667,138.616667,34.71,85,0,2.93
12,epanomi,gr,40.4272222,22.9283333,55.4,66,40,1.12
13,cockenzie,gb,55.95,-2.95,46.4,81,90,12.75
14,nijar,es,36.966298,-2.204491,60.8,72,0,2.26
15,zunheboto,in,25.966667,94.516667,48.39,91,0,0.81
16,bacsbokod,hu,46.124996,19.156207,43.58,72,76,5.39
17,burlington,us,40.8075,-91.1127778,42.8,87,90,10.29
18,castlewood,us,39.5847222,-104.9005556,41.0,85,40,4.7
19,alagoinhas,br,-12.116667,-38.433333,79.44,71,92,9.08
20,villa florida,py,-26.383333,-57.15,76.97,76,80,3.71
21,pearland,us,29.5633333,-95.2858333,82.4,61,75,11.41
22,lesosibirsk,ru,58.235833,92.482778,26.03,77,88,7.96
23,el cope,pa,8.6166667,-80.6,86.91,63,20,16.35
24,eschwege,de,51.183333,10.066667,44.6,81,75,11.41
25,surani,ro,45.2,26.166667,34.85,98,48,4.94
26,leamington,ca,42.05,-82.583333,51.8,93,90,8.05
27,necsesti,ro,44.25,25.15,34.62,90,36,6.96
28,saint-denis,ca,45.783333,-73.15,44.6,39,75,16.11
29,rasmiresti,ro,43.983333,25.55,37.1,91,32,8.19
30,berwick,us,43.2658333,-70.865,48.2,22,1,3.36
31,villaviciosa de odon,es,40.356923,-3.900107,66.2,36,0,10.29
32,caramutan,ph,15.916667,120.616667,66.35,89,36,2.71
33,krabi,th,8.072574,98.910516,80.6,83,20,4.7
34,dubreka,gn,9.7911111,-13.5233333,86.0,48,75,11.41
35,chernyshkovskiy,ru,48.421875,42.230825,42.27,87,92,13.67
36,superior,us,39.9527778,-105.1680556,46.4,92,40,4.7
37,calansayan,ph,13.766667,121.066667,70.22,95,68,2.71
38,arnedo,es,42.226301,-2.101386,64.4,48,20,9.17
39,honolulu,us,21.3069444,-157.8583333,73.4,73,20,3.71
40,barcs,hu,45.96,17.458611,41.64,81,8,3.71
41,zielona gora,pl,51.939345,15.505772,38.9,75,48,3.71
42,cucaita,co,5.543728,-73.454331,62.61,81,80,2.48
43,celaya,mx,20.516667,-100.816667,77.0,25,5,12.75
44,baoro,cf,5.6666667,15.9666667,79.85,63,0,5.5
45,breznita-motru,ro,44.566667,23.216667,39.2,91,0,8.05
46,betki,ru,54.8,53.633333,28.64,93,80,12.44
47,dobris,cz,49.780879,14.170542,41.0,94,0,4.7
48,doftana,ro,45.15,25.8,39.2,93,75,2.24
49,karaman,tr,37.181111,33.215,49.11,35,0,3.94
50,glebychevo,ru,60.452903,28.721394,22.25,80,56,3.71
51,rajpur,in,21.933333,75.133333,72.11,33,32,4.72
52,meise,be,50.933333,4.333333,48.2,93,75,6.93
53,curug,id,-6.253333,106.617222,77.0,94,20,4.7
54,beipiao,cn,41.791944,120.779167,56.36,45,80,13.0
55,auerbach,de,50.516667,12.4,42.8,74,0,3.36
56,dombasle-sur-meurthe,fr,48.625201,6.349671,42.8,93,90,8.05
57,bankra,in,22.6275,88.298056,80.6,65,20,9.17
58,galan,co,6.637808,-73.288778,82.4,65,40,4.7
59,tecamachalco,mx,18.883333,-97.733333,77.91,37,0,6.62
60,salta,ar,-24.785896,-65.411664,68.0,52,75,11.41
61,bangaon,in,23.066667,88.816667,80.6,65,20,9.17
62,hluk,cz,48.987772,17.526427,41.0,86,75,5.82
63,saly,hu,47.95,20.666667,38.09,71,64,2.71
64,braine-le-comte,be,50.6,4.133333,48.2,100,75,13.87
65,troitskoye,ru,55.3,38.533333,24.8,62,0,6.71
66,vinsady,ru,44.080833,42.965278,44.6,93,0,4.72
67,guinacutan,ph,14.1569,122.868,79.22,100,88,15.57
68,nishio,jp,34.866667,137.05,50.0,87,20,1.36
69,halmasd,ro,47.15,22.616667,42.8,93,76,5.82
70,palencia,es,42.009552,-4.524063,59.0,44,0,10.29
71,calw,de,48.716667,8.733333,46.4,61,75,10.29
72,eger,hu,47.9,20.383333,38.09,71,64,2.71
73,maruko,jp,36.316667,138.266667,28.32,80,0,1.92
74,skoutari,gr,41.0166667,23.5166667,48.44,76,56,2.15
75,velky tynec,cz,49.551547,17.335117,35.6,94,75,1.12
76,ladenburg,de,49.475,8.606944,48.2,66,75,6.93
77,bryansk,ru,53.252089,34.371666,25.49,92,88,15.23
78,sodhra,pk,32.461622,74.182339,69.8,68,64,2.24
79,clearlake,us,38.9583333,-122.6252778,66.2,47,1,4.7
80,barkly west,za,-28.535366,24.521506,66.2,48,0,5.82
81,san pablo,ph,14.9696,120.6197,77.0,73,75,2.24
82,brikama,gm,13.2675,-16.6461111,82.4,48,0,6.93
83,ramgarh,in,33.4,74.2,42.54,100,92,1.03
84,ketsch,de,49.367778,8.531111,48.2,66,75,6.93
85,wisconsin rapids,us,44.3836111,-89.8172222,41.0,75,90,11.41
86,anta,pe,-13.4630556,-72.1552778,64.4,42,40,4.7
87,fleron,be,50.616667,5.683333,44.6,93,75,11.41
88,naples park,us,26.2613889,-81.8094444,82.4,39,1,17.22
89,jales,br,-20.266667,-50.55,81.74,59,80,10.54
90,panarukan,id,-7.7008,113.9529,70.67,96,80,2.37
91,mlimba,tz,-8.8,35.8166667,72.69,96,48,2.59
92,barsbuttel,de,53.566667,10.166667,44.6,52,0,9.17
93,chateau-thierry,fr,49.05,3.4,51.8,93,88,9.17
94,karagay,ru,58.26669,54.936783,20.04,86,88,6.96
95,ardon,ru,52.735241,32.308569,29.63,89,92,13.78
96,balaceanu,ro,45.266667,27.15,35.48,97,48,7.63
97,bjerringbro,dk,56.377973,9.66065,33.8,86,76,14.99
98,tolmachevo,ru,58.859731,29.910906,15.23,70,0,2.37
99,moalboal,ph,9.943333,123.399167,75.84,100,12,7.96
100,krini,gr,39.6166667,22.0166667,50.06,65,24,4.38
101,nagato,jp,34.383333,131.2,50.0,76,0,3.36
102,khuzhir,ru,53.193889,107.339722,13.97,79,36,2.48
103,mandalay,mm,22.0,96.0833333,68.69,91,0,0.92
104,huncherange,lu,49.5169444,6.065,42.8,100,75,12.75
105,thap khlo,th,16.160028,100.596556,73.19,90,64,2.37
106,sochaczew,pl,52.233333,20.25,33.8,74,90,8.05
107,zheleznodorozhnyy,ru,54.363258,21.305698,27.92,48,12,6.51
108,ladybank,gb,56.266667,-3.133333,46.4,87,40,12.75
109,khorion,gr,36.9666667,26.9666667,59.0,77,40,3.38
110,feira,pt,40.925348,-8.542769,55.4,81,0,8.05
111,jurbarkas,lt,55.0777778,22.7663889,28.32,56,24,8.08
112,argelia,co,5.731269,-75.142573,71.6,53,40,6.93
113,barrie,ca,44.383333,-79.7,37.4,93,90,11.41
114,tacuta,ro,46.916667,27.683333,41.0,87,40,3.36
115,chaohu,cn,31.6,117.866667,59.0,87,0,8.95
116,warner robins,us,32.6208333,-83.6,68.0,55,40,8.05
117,zofingen,ch,47.289945,7.947274,44.6,81,90,3.36
118,ratodero,pk,27.802955,68.287078,78.8,54,0,6.93
119,baldone,lv,56.7069444,24.3519444,26.6,63,0,5.82
120,essex,ca,42.166667,-82.816667,53.6,93,90,8.05
121,smyrna,us,35.9827778,-86.5186111,64.4,63,20,16.11
122,sanchez,do,19.2333333,-69.6,77.0,78,75,17.22
123,bosconia,co,9.968889,-73.883611,88.71,70,0,1.59
124,wojkowice,pl,50.370433,19.061742,35.6,93,75,3.36
125,indergarh,in,26.9352,79.6724,69.72,43,0,2.71
126,kuna,us,43.4919444,-116.4191667,50.0,53,1,8.05
127,boaco,ni,12.4666667,-85.6666667,91.4,59,40,11.41
128,ecuandureo,mx,20.166667,-102.183333,80.39,25,0,4.61
129,horstel,de,52.316667,7.583333,44.6,75,75,3.36
130,mozhga,ru,56.374511,52.255426,29.9,94,92,1.36
131,andzhiyevskiy,ru,44.238889,43.085556,44.6,93,0,4.16
132,salina cruz,mx,16.166667,-95.2,89.61,47,0,6.17
133,dagumba-an,ph,8.153056,124.590833,59.06,100,8,1.92
134,petrykiv,ua,49.531218,25.579009,35.79,86,80,5.39
135,santa rosa,co,10.444722,-75.369722,87.8,62,20,19.46
136,richard toll,sn,16.4666667,-15.6833333,96.5,14,56,7.74
137,annandale,us,38.8302778,-77.1966667,44.6,75,90,9.17
138,bondues,fr,50.701956,3.094972,50.0,93,90,12.75
139,pangarati,ro,46.933333,26.15,36.24,96,92,1.92
140,bayamo,cu,20.3791667,-76.6433333,80.6,51,75,16.11
141,bowral,au,-34.477501,150.420395,55.4,100,0,1.12
142,emborion,gr,40.4833333,21.55,42.95,95,68,1.36
143,kanasin,mx,20.933333,-89.566667,91.4,33,5,19.46
144,vladeni,ro,47.416667,27.333333,41.0,98,40,3.36
145,boissy-saint-leger,fr,48.751495,2.511632,53.6,71,75,17.22
146,chester,us,42.9566667,-71.2577778,48.2,18,75,5.82
147,silvania,co,4.403671,-74.3867,62.6,67,40,5.82
148,pilos,gr,36.91,21.6986111,53.6,81,40,4.5
149,lesna,cz,49.519404,17.93131,37.4,94,75,1.12
150,tomaszow mazowiecki,pl,51.538614,20.017606,32.0,84,75,5.82
151,sangar,ru,63.924167,127.473889,3.71,62,0,7.85
152,yeadon,us,39.9388889,-75.2558333,46.4,41,1,3.83
153,celarevo,rs,45.269444,19.525278,39.2,93,0,8.05
154,grave,nl,51.758614,5.739412,44.6,100,75,5.82
155,hornbaek,dk,56.08541,12.450485,33.8,92,40,14.99
156,vitim,ru,59.451111,112.557778,15.32,67,68,3.71
157,leninogorsk,ru,54.602559,52.460871,29.27,93,88,9.19
158,ostrov,ro,44.116667,27.366667,35.3,94,64,7.52
159,dasoguz,tm,41.8333333,59.9666667,55.4,43,0,16.11
160,volodarka,ua,49.524836,29.912219,34.44,88,32,7.4
161,shahgarh,in,24.316667,79.133333,66.26,34,0,3.15
162,muri,ch,47.270428,8.3382,44.6,86,75,9.17
